iter	Passed	Remaining
863	27952	4399
864	27982	4367
865	28015	4334
866	28048	4302
867	28077	4269
868	28111	4237
869	28141	4205
870	28172	4172
871	28202	4139
872	28233	4107
873	28265	4074
874	28295	4042
875	28324	4009
876	28355	3976
877	28386	3944
878	28417	3911
879	28447	3879
880	28480	3846
881	28511	3814
882	28543	3782
883	28576	3749
884	28609	3717
885	28641	3685
886	28675	3653
887	28708	3620
888	28741	3588
889	28774	3556
890	28805	3523
891	28834	3491
892	28868	3459
893	28899	3426
894	28931	3394
895	28961	3361
896	28991	3329
897	29023	3296
898	29054	3264
899	29087	3231
900	29122	3199
901	29153	3167
902	29185	3135
903	29214	3102
904	29244	3069
905	29277	3037
906	29306	3005
907	29338	2972
908	29370	2940
909	29400	2907
910	29431	2875
911	29463	2842
912	29495	2810
913	29524	2778
914	29568	2746
915	29622	2716
916	29653	2683
917	29685	2651
918	29716	2619
919	29749	2586
920	29780	2554
921	29813	2522
922	29843	2489
923	29873	2457
924	29904	2424
925	29933	2392
926	29966	2359
927	29997	2327
928	30032	2295
929	30062	2262
930	30094	2230
931	30129	2198
932	30158	2165
933	30190	2133
934	30222	2101
935	30254	2068
936	30284	2036
937	30314	2003
938	30346	1971
939	30378	1939
940	30408	1906
941	30440	1874
942	30473	1841
943	30504	1809
944	30534	1777
945	30566	1744
946	30597	1712
947	30629	1680
948	30659	1647
949	30695	1615
950	30727	1583
951	30757	1550
952	30788	1518
953	30820	1486
954	30851	1453
955	30884	1421
956	30915	1389
957	30947	1356
958	30980	1324
959	31014	1292
960	31043	1259
961	31075	1227
962	31109	1195
963	31141	1162
964	31171	1130
965	31204	1098
966	31236	1065
967	31271	1033
968	31304	1001
969	31337	969
970	31368	936
971	31400	904
972	31431	872
973	31462	839
974	31493	807
975	31525	775
976	31557	742
977	31590	710
978	31619	678
979	31652	645
980	31684	613
981	31714	581
982	31745	549
983	31779	516
984	31810	484
985	31841	452
986	31871	419
987	31902	387
988	31934	355
989	31965	322
990	31996	290
991	32030	258
992	32064	226
993	32097	193
994	32130	161
995	32162	129
996	32193	96
997	32225	64
998	32257	32
999	32287	0
